[2026-03-29T16:42:54.810Z] GET https://www.apple.com/sg/shop/buy-mac/mac-studio/m4-max-chip-16-core-cpu-40-core-gpu-64gb-memory-1tb-storage → 200 (342ms, 296267B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-globalelements-2.22.0-a22fe/dist/ac-globalnav.css → 200 (36ms, 171494B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-external-1.71.0-9ee93/dist/sg/external.css → 200 (35ms, 45867B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/common-css@1.2.0/dist/common.css → 200 (41ms, 146047B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-mac-2.32.4-0fb7a/dist/step1evolution.css → 200 (41ms, 608049B)
[2026-03-29T16:42:55.166Z] GET https://www.apple.com/wss/fonts?families=SF+Pro,v3:200,300,400,500,600|SF+Pro+Icons,v3|Apple+Monochrome+Emoji,v3|Apple+Monochrome+Emoji+Ind,v2|Graphik,v1 → 200 (12ms, 16166B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/shop/Catalog/global/css/dd/buy-flow/mac.css → 200 (51ms, 314972B)
[2026-03-29T16:42:55.166Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/shop/Catalog/global/css/web/fee/buy-flow/mac/as-mac-btr.css → 200 (57ms, 5408B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/shop/Catalog/global/css/web/fee/buy-flow/mac/as-mac-bfe-step1.css → 200 (55ms, 1610B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-echo-3.32.1-15fa3/dist/echo.min.js → 200 (39ms, 53436B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-external-1.71.0-9ee93/dist/external.js → 200 (47ms, 68113B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-external-1.71.0-9ee93/dist/log.js → 200 (47ms, 9499B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/adobe-appmeasurement@3.0.0/third-party/js/ActivityMap.js → 200 (49ms, 3729B)
[2026-03-29T16:42:55.168Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/adobe-appmeasurement@3.0.0/third-party/js/AppMeasurement.js → 200 (47ms, 34733B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-analytics-1.9.0-bb3c4/dist/analytics.js → 200 (68ms, 183962B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/lodash@4.17.21/lodash.min.js → 200 (67ms, 73015B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/react@18.2.0/umd/react.production.min.js → 200 (75ms, 10737B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-vendor-1.33.0-438e0/dist/react-dom@18.2.0/umd/react-dom.production.min.js → 200 (75ms, 131882B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-mac-2.32.4-0fb7a/dist/step1evolution.js → 200 (75ms, 459163B)
[2026-03-29T16:42:55.169Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-globalelements-2.22.0-a22fe/dist/ac-globalnav.umd.js → 200 (151ms, 162722B)
[2026-03-29T16:42:55.170Z] GET https://store.storeimages.cdn-apple.com/8756/store.apple.com/static-resources/rs-globalelements-2.22.0-a22fe/dist/globalelements.js → 200 (67ms, 76049B)
[2026-03-29T16:42:55.170Z] GET https://www.apple.com/shop/shld/v1/verify.js → 200 (10ms, 36127B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/4ZDkhD_rlR3dYpYnrBDs101Dio_hne709ceeZW8NOdc.js → 200 (44ms, 642B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/h4hHMfW1aOWecH_ZudUuT-jQ3hARMakj8v0C0ePrgv0.js → 200 (55ms, 650B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/RkQoe7XoUt-7TpFjHkSjlfDf6d0XmU6WeBm7E0lSHXk.js → 200 (58ms, 19306B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/Tq0nz3CfeQe3gg7j0ILhY9o2Lssu8wF1oBhz6r-7DFs.js → 200 (66ms, 1809B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/Ya4iQ3YUQ_vYlWggLX1h4sDC8m0xwV4LSSB77dw2fH8.js → 200 (54ms, 1073B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/WLkxPzEMvfKGReNiwwlQ0YWP9cguj14bqdzQ8Cj-OaE.js → 200 (67ms, 3425B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/pcnNdMX-JV0uP5BUzGJY0gRxfUYW9KcYMkDcd1dH5t8.js → 200 (54ms, 806B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/xF2Bx_UqrRg1gXbIxwrzCWMS5G16LvGDgjgSByQrbVA.js → 200 (44ms, 1562B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/8H1GbI8OgyIwkYCYbKHo8ZOACe5w6C51cUhDme7tJjA.js → 200 (74ms, 827B)
[2026-03-29T16:42:55.170Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/6GbUY6ldRj4naf-Ns71lzrB6tYPHofLXRD9F9qGAiyQ.js → 200 (54ms, 691B)
[2026-03-29T16:42:55.171Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/BC2it-jRNayNHdsIit7r9bdkcuFyBnH1-cszxF5qfNg.js → 200 (66ms, 1312B)
[2026-03-29T16:42:55.171Z] GET https://graffiti-tags.apple.com/public/aos/prod/ucp3/CDsXmKACaEfTRmGFyLAXkKxxASAkV850HLSG-yBhiU0.js → 200 (53ms, 1014B)
